Address:,USB0::0x0957::0x179A::MY62160698::0::INSTR,,Function Channels,,
Model:,DSO-X 2004A,,Time (s),M1,
,,,-0.979883,-1.92187477089465,
,,,-0.979851,-1.92187477089465,
,,,-0.979819,-1.92187477089465,
,,,-0.979787,-1.92187477089465,
,,,-0.979755,-1.92187477089465,
,,,-0.979723,-1.92187477089465,
,,,-0.979691,-1.92187477089465,
,,,-0.979659,-1.92187477089465,
,,,-0.979627,-1.92187477089465,
,,,-0.979595,-1.92187477089465,
,,,-0.979563,-1.92187477089465,
,,,-0.979531,-1.92187477089465,
,,,-0.979499,-1.92187477089465,
,,,-0.979467,-1.92187477089465,
,,,-0.979435,-1.92187477089465,
,,,-0.979403,-1.92187477089465,
,,,-0.979371,-1.92187477089465,
,,,-0.979339,-1.92187477089465,
,,,-0.979307,-1.92187477089465,
,,,-0.979275,-1.92187477089465,
,,,-0.979243,-1.92187477089465,
,,,-0.979211,-1.92187477089465,
,,,-0.979179,-1.92187477089465,
,,,-0.979147,-1.92187477089465,
,,,-0.979115,-1.92187477089465,
,,,-0.979083,-1.92187477089465,
,,,-0.979051,-1.92187477089465,
,,,-0.979019,-1.92187477089465,
,,,-0.978987,-1.92187477089465,
,,,-0.978955,-1.92187477089465,
,,,-0.978923,-1.92187477089465,
,,,-0.978891,-1.92187477089465,
,,,-0.978859,-1.92187477089465,
,,,-0.978827,-1.92187477089465,
,,,-0.978795,-1.92187477089465,
,,,-0.978763,-1.92187477089465,
,,,-0.978731,-1.92187477089465,
,,,-0.978699,-1.92187477089465,
,,,-0.978667,-1.92187477089465,
,,,-0.978635,-1.92187477089465,
,,,-0.978603,-1.92187477089465,
,,,-0.978571,-1.92187477089465,
,,,-0.978539,-1.92187477089465,
,,,-0.978507,-1.92187477089465,
,,,-0.978475,-1.92187477089465,
,,,-0.978443,-1.92187477089465,
,,,-0.978411,-1.92187477089465,
,,,-0.978379,-1.92187477089465,
,,,-0.978347,-1.92187477089465,
,,,-0.978315,-1.92187477089465,
,,,-0.978283,-1.92187477089465,
,,,-0.978251,-1.92187477089465,
,,,-0.978219,-1.92187477089465,
,,,-0.978187,-1.92187477089465,
,,,-0.978155,-1.92187477089465,
,,,-0.978123,-1.92187477089465,
,,,-0.978091,-1.92187477089465,
,,,-0.978059,-1.92187477089465,
,,,-0.978027,-1.92187477089465,
,,,-0.977995,-1.92187477089465,
,,,-0.977963,-1.86328102787957,
,,,-0.977931,-1.8417966554407,
,,,-0.977899,-1.78320291242562,
,,,-0.977867,-1.70312479697168,
,,,-0.977835,-1.58203106140718,
,,,-0.977803,-1.46289045060985,
,,,-0.977771,-1.48242169828154,
,,,-0.977739,-1.34179671504535,
,,,-0.977707,-1.22265610424802,
,,,-0.977675,-1.20117173180915,
,,,-0.977643,-1.16210923646577,
,,,-0.977611,-1.06249987334013,
,,,-0.977579,-0.982421757886186,
,,,-0.977547,-0.921874890103936,
,,,-0.977515,-0.94140613777563,
,,,-0.977483,-0.841796774649993,
,,,-0.977451,-0.800781154539436,
,,,-0.977419,-0.861328022321686,
,,,-0.977387,-0.720703039085492,
,,,-0.977355,-0.621093675959855,
,,,-0.977323,-0.701171791413799,
